data;
set N := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2 3;
param Mares := 20;
param v :=
1 5
2 4
3 2;
param d :=
1 1
2 1
3 1
4 1
5 1
6 5
7 5
8 5
9 5
10 5;
param a :=
1 1
2 2
3 2
4 2
5 4
6 4
7 5
8 6
9 10
10 11;
param e :=
Bauxita 32
Alumina 34
Manganes 20
Ferro 27;
param ck :=
Bauxita 3
Alumina 3
Manganes 2
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	6	0	0	0
2	3	0	0	0
3	4	0	0	0
4	0	8	0	0
5	6	0	0	0
6	0	19	0	0
7	0	0	10	0
8	0	0	0	13
9	0	0	11	0
10	10	0	0	0;
end;
